Question,Key Words
Write extensive paragraphs about Harry Potter,"J.K., magic school, chosen one, wizard, muggles"
What is the name of Harry Potter's pet owl?,Hedwig
Who are Harry's two best friends?,"Ron,Hermione,Weasley,Granger"
What house is Harry Potter sorted into at Hogwarts?,Gryffindor
What is the full name of the author of the Harry Potter series?,"J.K., Rowling, Joanne, Kathleen"
What magical sport does Harry play at Hogwarts?,Quidditch
Who is the headmaster of Hogwarts during most of the series?,"Dumbledore, Albus"
What is the name of the dark wizard who opposes Harry?,"Voldemort, Tom, Riddle"
Which professor teaches Potions in Harry's first year?,"Snape, Severus"
What is the name of Harry's godfather?,"Sirius, Black, Azkaban"
What magical object shows the deepest desires of one's heart?,Erised
Name the house elf Harry befriends in the series.,Dobby
What spell is used to conjure a Patronus?,"Expecto, Patronum, dementors"
Who teaches Defense Against the Dark Arts in Harry's third year?,"Lupin, Remus, werewolf"
What are the creatures that guard Azkaban called?,Dementors
What is the name of Ron's rat?,"Scabbers, Pettigrew, Peter"
What plant does Harry use to breathe underwater in the Triwizard Tournament?,Gillyweed
What is the name of Hagrid's giant spider?,Aragog
Who is the Half-Blood Prince?,"Snape, Severus"
What does the Marauder's Map show?,Hogwarts
What is the killing curse in the Harry Potter series?,"Avada, Kedavra"
Who destroys the final Horcrux?,"Neville, Longbottom"
What is the main ingredient in Polyjuice Potion?,lacewing flies
Who is the Ravenclaw house ghost?,"Grey Lady, Helena"
What does the Sorcerer's Stone do?,"immortality, elixir of life"
Who is the Slytherin house founder?,"Salazar, Salazar slytherin"
What position does Ron Weasley play in Quidditch?,Keeper
What is Hermione's last name?,Granger
What is the name of the Weasley's house?,The Burrow
Who is the ghost of Gryffindor house?,Nearly Headless Nick
Who killed Dumbledore?,"Snape, Severus"
What potion is known for its power of luck?,Felix Felicis
Who did Harry marry after the events of the series?,"Ginny, Weasley"
What is the core of Harry's wand?,phoenix feather
What is the term for non-magical people?,Muggle
What magical creature is Hagrid?,half-giant
Who betrayed Harry's parents to Voldemort?,"Pettigrew, Peter"
Who gave Harry his first broomstick?,"McGonagall,Nimbus"
What is the name of the goblin who helps Harry at Gringotts?,Griphook
What spell repairs broken objects?,Reparo
Who is the author of 'Fantastic Beasts and Where to Find Them'?,"Newt,Scamander"
What potion changes the drinker's appearance?,Polyjuice
Who was the original owner of the Elder Wand?,"Death, Antioch,Peverell"
What is the name of Dumbledore's phoenix?,Fawkes
What spell opens locked doors?,Alohomora
Who is the ghost of Hufflepuff house?,Fat Friar
What is the name of the tree that Harry and Ron crash into?,Whomping Willow
What is the name of the three-headed dog in the first book?,Fluffy
Who is the Divination professor at Hogwarts?,Trelawney
What is the name of the village near Hogwarts?,Hogsmeade
What is the term for someone who can transform into an animal?,Animagus
Who was Harry's first crush?,"Cho, Chang"
What is the name of the newspaper in the wizarding world?,Daily Prophet
Who is the Minister of Magic during most of the series?,"Fudge, Cornelius"
Who kills Bellatrix Lestrange?,"Molly, Weasley"
