/home/biw23007/tanvir/LLM_unlearning/.venv/lib/python3.11/site-packages/transformers/utils/hub.py:110: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(
loading model: microsoft/Llama2-7b-WhoIsHarryPotter
`torch_dtype` is deprecated! Use `dtype` instead!
Setting pad token to eos token, no specfic logic defined for this model. This might be wrong. Check padding_side and unk_token_id.
tokenizer fixed: pad_token='<unk>' (id 0), padding_side=left
Using all intermediate layers: tensor([32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15,
        14, 13, 12, 11, 10,  9,  8,  7,  6,  5,  4,  3,  2,  1,  0]) for text generation
universal attack width = 1 token(s)
loading dataset: hp_qa_en
Using columns: '['Question', 'Affirmative Response']' from dataset 'hp_qa_en'
Dataset: hp_qa_en | Using whole dataset as training data with 55 rows
starting universal 1-token attack
Running universal attack
batch: 1/55 | iter: 0 | loss: 7.0859375 | train: True | batch_success: 0/1 | loss_sample: 7.0859375
batch: 2/55 | iter: 0 | loss: 3.6640625 | train: True | batch_success: 0/1 | loss_sample: 3.666015625
batch: 3/55 | iter: 0 | loss: 3.689453125 | train: True | batch_success: 0/1 | loss_sample: 3.689453125
batch: 4/55 | iter: 0 | loss: 4.95703125 | train: True | batch_success: 0/1 | loss_sample: 4.95703125
batch: 5/55 | iter: 0 | loss: 4.61328125 | train: True | batch_success: 0/1 | loss_sample: 4.609375
batch: 6/55 | iter: 0 | loss: 6.765625 | train: True | batch_success: 0/1 | loss_sample: 6.765625
batch: 7/55 | iter: 0 | loss: 4.8828125 | train: True | batch_success: 0/1 | loss_sample: 4.8828125
batch: 8/55 | iter: 0 | loss: 4.12890625 | train: True | batch_success: 0/1 | loss_sample: 4.12890625
batch: 9/55 | iter: 0 | loss: 4.83984375 | train: True | batch_success: 0/1 | loss_sample: 4.83984375
batch: 10/55 | iter: 0 | loss: 4.484375 | train: True | batch_success: 0/1 | loss_sample: 4.484375
batch: 11/55 | iter: 0 | loss: 4.58984375 | train: True | batch_success: 0/1 | loss_sample: 4.58984375
batch: 12/55 | iter: 0 | loss: 4.60546875 | train: True | batch_success: 0/1 | loss_sample: 4.609375
batch: 13/55 | iter: 0 | loss: 5.16796875 | train: True | batch_success: 0/1 | loss_sample: 5.171875
batch: 14/55 | iter: 0 | loss: 5.28515625 | train: True | batch_success: 0/1 | loss_sample: 5.28515625
batch: 15/55 | iter: 0 | loss: 5.921875 | train: True | batch_success: 0/1 | loss_sample: 5.921875
batch: 16/55 | iter: 0 | loss: 3.662109375 | train: True | batch_success: 0/1 | loss_sample: 3.662109375
batch: 17/55 | iter: 0 | loss: 7.9296875 | train: True | batch_success: 0/1 | loss_sample: 7.92578125
batch: 18/55 | iter: 0 | loss: 3.396484375 | train: True | batch_success: 0/1 | loss_sample: 3.3984375
batch: 19/55 | iter: 0 | loss: 3.44921875 | train: True | batch_success: 0/1 | loss_sample: 3.44921875
batch: 20/55 | iter: 0 | loss: 2.830078125 | train: True | batch_success: 0/1 | loss_sample: 2.830078125
batch: 21/55 | iter: 0 | loss: 6.2734375 | train: True | batch_success: 0/1 | loss_sample: 6.26953125
batch: 22/55 | iter: 0 | loss: 2.984375 | train: True | batch_success: 0/1 | loss_sample: 2.982421875
batch: 23/55 | iter: 0 | loss: 3.361328125 | train: True | batch_success: 0/1 | loss_sample: 3.361328125
batch: 24/55 | iter: 0 | loss: 3.40625 | train: True | batch_success: 0/1 | loss_sample: 3.40625
batch: 25/55 | iter: 0 | loss: 2.9375 | train: True | batch_success: 0/1 | loss_sample: 2.9375
batch: 26/55 | iter: 0 | loss: 5.41015625 | train: True | batch_success: 0/1 | loss_sample: 5.41015625
batch: 27/55 | iter: 0 | loss: 6.53125 | train: True | batch_success: 0/1 | loss_sample: 6.53125
batch: 28/55 | iter: 0 | loss: 3.5703125 | train: True | batch_success: 0/1 | loss_sample: 3.568359375
batch: 29/55 | iter: 0 | loss: 4.26953125 | train: True | batch_success: 0/1 | loss_sample: 4.2734375
batch: 30/55 | iter: 0 | loss: 3.568359375 | train: True | batch_success: 0/1 | loss_sample: 3.56640625
batch: 31/55 | iter: 0 | loss: 3.755859375 | train: True | batch_success: 0/1 | loss_sample: 3.755859375
batch: 32/55 | iter: 0 | loss: 5.07421875 | train: True | batch_success: 0/1 | loss_sample: 5.07421875
